name,gradyear
Gregory Mori,1999
Yuepeng Wang,2014
Brian Funt,1971
Bob Hadley,1967
Tianzheng Wang,2017
Shervin Shirmohammadi,
Ke Wang,1984
Daniel Cohen-Or,
Anoop Sarkar,1991
Robert D. Cameron,1977
Andrei Bulatov,1991
Manolis Savva,2009
Graham Finlayson,1992
Tao Wang,2015
Keval Vora,2017
Jianliang Wu,2012
Zhenman Fang,2009
Siqi Zhou,2016
Kay C Wiese,1991
Nicholas Vincent,2016
Tenzin Doleck,2017
Cynthia Xie,
Art Liestman,1975
Ze-Nian Li,1970
Xingdong Yang,
Saeid Asgari,
Mo Chen,2011
Wo-shun Luk,1971
Ghassan Hamarneh,1995
Mohamed Hefeeda,1994
Joseph Peters,1974
WUYANG Chen,2023
James J Weinkam,1964
Parmit Chilana,2005
Victor Cheung,2004
Janice Regan,1979
Ryan Shea,
Angel Chang,
Sze Yiu Chau,2013
Jiangchuan Liu,1999
Bobby Chan,2005
Anthony Hunter Dixon,
Tom Calvert,
Sheelagh Carpendale,1992
Angelica Lim,2008
Ke Li,2014
John Edgar,1984
Toby Donaldson,1992
Steven Ko,1999
Martin Ester,1984
LINYI LI,2018
Maxwell Libbrecht,2011
Eugene Fiume,
Qianping Gu,1982
Lawrence Kim,2013
Harinder Singh Khangura,1997
Uwe Glaesser,1987
Diana Cukierman,1989
Valentine Kabanets,1993
Brian Fraser,2002
Yasutaka Furukawa,2001
Marzena Karpinska,2007
Ryan D'Arcy,1996
Evgenia Ternovska,2002
Ali Mahdavi-Amiri,
Tiko Kameda,
Peter Chun,2002
Matthew Amy,2011
Saba Alimadadi,2017
Jiannan Wang,2008
Thomas C. Shermer,1984
Zhengjie Miao,2015
Sharan Vaswani,2012
Hang Ma,2012
Mohammad Tayebi,2005
Richard Zhang,1995
Stella Atkins,1966
Ramesh Krishnamurti,1974
Yagiz Aksoy,2011
Alaa Alameldeen,1996
Anne Lavergne,1991
Binay Bhattacharya,1982
KangKang Yin,1997
Andrea Tagliasacchi,2005
Felix Lo,1996
Kwang  Moo Yi,2007
Anders Miltner,2013
Oliver Schulte,1992
Mark Drew,1970
Jian Pei,1991
Gregory Baker,1998
Ouldooz Baghban Karimi,
David Mitchell,1989
James Delgrande,1977
Igor Shinkar,2005
Steven Pearce,1981
Pulei Xiong,1993
William Sumner,2005
Frederick Popowich,1982
Bill Havens,1969
Warren Burton,1972
Brad Bart,1996
Steven Bergner,2003
Veronica Dahl,1975
Pavol Hell,1968
Xue Bin Jason Peng,2015
Arrvindh Shriraman,2004
